code,name,price_eur,status
16 Black Hot Chilli Peppers -HTF,16 Black Hot Chilli Peppers -HTF,7.41,active
17 Bruised Ego -HTF,17 Bruised Ego -HTF,7.41,active
18 Violet Nights -HTF,18 Violet Nights -HTF,7.41,active
1801 2 Hot 2 Handle -HTF,1801 2 Hot 2 Handle -HTF,7.41,active
1802 Bite Your Lip -HTF,1802 Bite Your Lip -HTF,7.41,active
1803 Dont Pout -HTF,1803 Dont Pout -HTF,7.41,active
1804 Cuddle Me -HTF,1804 Cuddle Me -HTF,7.41,active
1805 Rack Em Up -HTF,1805 Rack Em Up -HTF,7.41,active
1806 Linger On -HTF,1806 Linger On -HTF,7.41,active
1807 Truth Be Told -HTF,1807 Truth Be Told -HTF,7.41,active
1808 Show Me Yours -HTF,1808 Show Me Yours -HTF,7.41,active
1809 Naughtier Than Nice -HTF,1809 Naughtier Than Nice -HTF,7.41,active
1810 Behind Closed Doors -HTF,1810 Behind Closed Doors -HTF,7.41,active
1811 Another Shade of Grey -HTF,1811 Another Shade of Grey -HTF,7.41,active
1812 GIUP® Oil -HTF,1812 GIUP® Oil -HTF,7.41,active
1813 Drives Me Wild -HTF,1813 Drives Me Wild -HTF,7.41,active
1814 Swinger -HTF,1814 Swinger -HTF,7.41,active
1815 What a Slate -HTF,1815 What a Slate -HTF,7.41,active
1816 Tempted -HTF,1816 Tempted -HTF,7.41,active
1817 Wink Wink -HTF,1817 Wink Wink -HTF,7.41,active
1818 Haute -HTF,1818 Haute -HTF,7.41,active
1819 Frozen -HTF,1819 Frozen -HTF,7.41,active
1820 Not on PurPose -HTF,1820 Not on PurPose -HTF,7.41,active
1821 Another Kinda Pink -HTF,1821 Another Kinda Pink -HTF,7.41,active
1822 Dark Angel -HTF,1822 Dark Angel -HTF,7.41,active
1823 Pumpkin Pie -HTF,1823 Pumpkin Pie -HTF,7.41,active
19 Kelp Me -HTF,19 Kelp Me -HTF,7.41,active
1900 Moon Mist -HTF,1900 Moon Mist -HTF,7.41,active
1901 Desert Hori-Zen -HTF,1901 Desert Hori-Zen -HTF,7.41,active
1902 Rings Around the Sun -HTF,1902 Rings Around the Sun -HTF,7.41,active
1903 Dancing Firefly (Thermo / Glow) -HTF,1903 Dancing Firefly (Thermo / Glow) -HTF,7.41,active
1904 Sienna -HTF,1904 Sienna -HTF,7.41,active
1905 Sweet Sunset -HTF,1905 Sweet Sunset -HTF,7.41,active
1906 The New Black -HTF,1906 The New Black -HTF,7.41,active
1907 Red Acacia -HTF,1907 Red Acacia -HTF,7.41,active
1908 Desert Scorpion -HTF,1908 Desert Scorpion -HTF,7.41,active
1909 Tamarix -HTF,1909 Tamarix -HTF,7.41,active
1910 Pink Lady Lemonade -HTF,1910 Pink Lady Lemonade -HTF,7.41,active
1911 Unveiling -HTF,1911 Unveiling -HTF,7.41,active
1912 Heat Overload (Thermo /Glow) -HTF,1912 Heat Overload (Thermo /Glow) -HTF,7.41,active
1913 Shallow Water -HTF,1913 Shallow Water -HTF,7.41,active
1914 Lime Sorbet -HTF,1914 Lime Sorbet -HTF,7.41,active
1915 Mirage -HTF,1915 Mirage -HTF,7.41,active
1916 Shoe Blue -HTF,1916 Shoe Blue -HTF,7.41,active
1919 She Sells -HTF,1919 She Sells -HTF,7.41,active
1921 Up Up and Away -HTF,1921 Up Up and Away -HTF,7.41,active
1923 Hug-A-Bear -HTF,1923 Hug-A-Bear -HTF,7.41,active
1924 Purified -HTF,1924 Purified -HTF,7.41,active
1925 Serengeti -HTF,1925 Serengeti -HTF,7.41,active
1926 Eco-Savvy -HTF,1926 Eco-Savvy -HTF,7.41,active
1927 Forestation -HTF,1927 Forestation -HTF,7.41,active
1928 Caretta Caretta -HTF,1928 Caretta Caretta -HTF,7.41,active
1929 Paint It Green -HTF,1929 Paint It Green -HTF,7.41,active
1930 Pink Rhino Horns -HTF,1930 Pink Rhino Horns -HTF,7.41,active
1932 Habibi-Tat -HTF,1932 Habibi-Tat -HTF,7.41,active
1933 Hump Back -HTF,1933 Hump Back -HTF,7.41,active
1934 R-R-R -HTF,1934 R-R-R -HTF,7.41,active
1935 The Last Straw -HTF,1935 The Last Straw -HTF,7.41,active
1936 Eco-Bling -HTF,1936 Eco-Bling -HTF,7.41,active
1937 Star-Studded -HTF,1937 Star-Studded -HTF,7.41,active
1938 Midnight -HTF,1938 Midnight -HTF,7.41,active
1939 Desert Gold -HTF,1939 Desert Gold -HTF,7.41,active
1940 Delight Me -HTF,1940 Delight Me -HTF,7.41,active
1941 Keep Me Guessing -HTF,1941 Keep Me Guessing -HTF,7.41,active
1942 O-Zone -HTF,1942 O-Zone -HTF,7.41,active
1943 Dancing Shoes -HTF,1943 Dancing Shoes -HTF,7.41,active
1944 Glint of Hope -HTF,1944 Glint of Hope -HTF,7.41,active
1945 Amaranth -HTF,1945 Amaranth -HTF,7.41,active
1946 Whoops -HTF,1946 Whoops -HTF,7.41,active
1947 Naturally Yours -HTF,1947 Naturally Yours -HTF,7.41,active
20 Lemon Swirl -HTF,20 Lemon Swirl -HTF,7.41,active
201 Glitt-A-Rachi -HTF,201 Glitt-A-Rachi -HTF,7.41,active
202 Ogliterate -HTF,202 Ogliterate -HTF,7.41,active
2020 Soft and Sweet -HTF,2020 Soft and Sweet -HTF,7.41,active
2021 Sri-Lanka -HTF,2021 Sri-Lanka -HTF,7.41,active
2022 PhiPhi Island -HTF,2022 PhiPhi Island -HTF,7.41,active
2023 PickNickers -HTF,2023 PickNickers -HTF,7.41,active
2024 Durban Weed -HTF,2024 Durban Weed -HTF,7.41,active
2025 Calm Palm -HTF,2025 Calm Palm -HTF,7.41,active
2026 Whaat Pistachio -HTF,2026 Whaat Pistachio -HTF,7.41,active
2027 Emerald Coast -HTF,2027 Emerald Coast -HTF,7.41,active
2028 Below Sea Level -HTF,2028 Below Sea Level -HTF,7.41,active
2029 Show Me The Moneee -HTF,2029 Show Me The Moneee -HTF,7.41,active
203 Inca Gold -HTF,203 Inca Gold -HTF,7.41,active
2030 Under The Boardwalk -HTF,2030 Under The Boardwalk -HTF,7.41,active
2031 Down By The Sea -HTF,2031 Down By The Sea -HTF,7.41,active
2032 Salt Water Toffee -HTF,2032 Salt Water Toffee -HTF,7.41,active
2033 Baby Shark -HTF,2033 Baby Shark -HTF,7.41,active
2034 Smurfs Baby -HTF,2034 Smurfs Baby -HTF,7.41,active
2035 Scuubie -HTF,2035 Scuubie -HTF,7.41,active
2036 Not So Purple -HTF,2036 Not So Purple -HTF,7.41,active
2038 Hibiscus -HTF,2038 Hibiscus -HTF,7.41,active
2039 Coral Reef -HTF,2039 Coral Reef -HTF,7.41,active
204 Ponta D Auro -HTF,204 Ponta D Auro -HTF,7.41,active
2040 Precious Moments -HTF,2040 Precious Moments -HTF,7.41,active
2041 Di-Bi-Di-Bi -HTF,2041 Di-Bi-Di-Bi -HTF,7.41,active
2042 Up-Up -HTF,2042 Up-Up -HTF,7.41,active
2043 Love Mania -HTF,2043 Love Mania -HTF,7.41,active
2045 Heather Heights -HTF,2045 Heather Heights -HTF,7.41,active
2046 Twilight Mist -HTF,2046 Twilight Mist -HTF,7.41,active
2047 Delphi Grove -HTF,2047 Delphi Grove -HTF,7.41,active
2048 Still Good -HTF,2048 Still Good -HTF,7.41,active
2049 Bad Apple -HTF,2049 Bad Apple -HTF,7.41,active
2050 Twice Bitten -HTF,2050 Twice Bitten -HTF,7.41,active
2051 Thrice Shy -HTF,2051 Thrice Shy -HTF,7.41,active
2052 Clear Grey Skies -HTF,2052 Clear Grey Skies -HTF,7.41,active
2053 Lockdown Blues -HTF,2053 Lockdown Blues -HTF,7.41,active
2054 Ko Heeba -HTF,2054 Ko Heeba -HTF,7.41,active
2055 Liquid Tar -HTF,2055 Liquid Tar -HTF,7.41,active
2056 BeeeHave -HTF,2056 BeeeHave -HTF,7.41,active
2057 Curfew -HTF,2057 Curfew -HTF,7.41,active
2058 Pewt me on the Shelf -HTF,2058 Pewt me on the Shelf -HTF,7.41,active
2059 Puff Me Up -HTF,2059 Puff Me Up -HTF,7.41,active
206 Baha-Mar -HTF,206 Baha-Mar -HTF,7.41,active
2060 Chocolate Cherry -HTF,2060 Chocolate Cherry -HTF,7.41,active
2061 Onyx -HTF,2061 Onyx -HTF,7.41,active
2062 Dark Side of the Street -HTF,2062 Dark Side of the Street -HTF,7.41,active
2063 Trick or Treat -HTF,2063 Trick or Treat -HTF,7.41,active
207 Splashed -HTF,207 Splashed -HTF,7.41,active
208 Cosmolite -HTF,208 Cosmolite -HTF,7.41,active
209 Tink-Her-Bell -HTF,209 Tink-Her-Bell -HTF,7.41,active
20A Chiffon -HTF,20A Chiffon -HTF,7.41,active
20B Tie A Yellow Ribbon -HTF,20B Tie A Yellow Ribbon -HTF,7.41,active
20C Dawn Patrol -HTF,20C Dawn Patrol -HTF,7.41,active
21 Mikado -HTF,21 Mikado -HTF,7.41,active
210 First Lady -HTF,210 First Lady -HTF,7.41,active
2101 Hammocking -HTF,2101 Hammocking -HTF,7.41,active
2102 Barefoot in Blue Jeans -HTF,2102 Barefoot in Blue Jeans -HTF,7.41,active
2103 You are my Sunshine -HTF,2103 You are my Sunshine -HTF,7.41,active
2104 Tiny Dancer -HTF,2104 Tiny Dancer -HTF,7.41,active
2105 Happiness Is… -HTF,2105 Happiness Is… -HTF,7.41,active
2106 Take a Slice -HTF,2106 Take a Slice -HTF,7.41,active
2108 Aquaholic -HTF,2108 Aquaholic -HTF,7.41,active
2109 Commotion in the Ocean -HTF,2109 Commotion in the Ocean -HTF,7.41,active
2110 Hazy Lazy Dayz -HTF,2110 Hazy Lazy Dayz -HTF,7.41,active
2111 Rainbow Bubbles -HTF,2111 Rainbow Bubbles -HTF,7.41,active
2112 Lola la la la Lola -HTF,2112 Lola la la la Lola -HTF,7.41,active
2113 Deelight Night -HTF,2113 Deelight Night -HTF,7.36,discontinued
2113A Sparkled Wishes -HTF,2113A Sparkled Wishes -HTF,7.36,discontinued
2113B Pretty Little Lies -HTF,2113B Pretty Little Lies -HTF,7.36,discontinued
2113C Kiss and Tell -HTF,2113C Kiss and Tell -HTF,7.36,discontinued
2113D Rose Moonlight -HTF,2113D Rose Moonlight -HTF,7.36,discontinued
2113E Star Child -HTF,2113E Star Child -HTF,7.36,discontinued
2113F Jet Black Flash -HTF,2113F Jet Black Flash -HTF,7.36,discontinued
2113G Jessica Rabbit Dress -HTF,2113G Jessica Rabbit Dress -HTF,7.36,discontinued
2113J Blue Flashing Star -HTF,2113J Blue Flashing Star -HTF,7.36,discontinued
2113K Dusty Crystal -HTF,2113K Dusty Crystal -HTF,7.36,discontinued
2113L Magenta Spotlight -HTF,2113L Magenta Spotlight -HTF,7.36,discontinued
2113M Lilac Ice -HTF,2113M Lilac Ice -HTF,7.36,discontinued
2113N Pink My Grey -HTF,2113N Pink My Grey -HTF,7.36,discontinued
2113O Opa -HTF,2113O Opa -HTF,7.36,discontinued
2113P Flash-Berry -HTF,2113P Flash-Berry -HTF,7.36,discontinued
2113Q Luxe Glow -HTF,2113Q Luxe Glow -HTF,7.36,discontinued
2113R Midnight Hera -HTF,2113R Midnight Hera -HTF,7.36,discontinued
2113S Vivi Vail -HTF,2113S Vivi Vail -HTF,7.36,discontinued
212 Girls BFF -HTF,212 Girls BFF -HTF,7.41,active
2120 Spoilt For Choice -HTF,2120 Spoilt For Choice -HTF,7.41,active
2121 Green Light -HTF,2121 Green Light -HTF,7.41,active
2122 No Fear -HTF,2122 No Fear -HTF,7.41,active
2123 Echo of life -HTF,2123 Echo of life -HTF,7.41,active
2124 Blow Your Mind -HTF,2124 Blow Your Mind -HTF,7.41,active
2125 Crystal Clear Dreams -HTF,2125 Crystal Clear Dreams -HTF,7.41,active
2126 Late Night Hopes -HTF,2126 Late Night Hopes -HTF,7.41,active
2127 Creativity -HTF,2127 Creativity -HTF,7.41,active
2129 Absolute -HTF,2129 Absolute -HTF,7.41,active
213 Surprise -HTF,213 Surprise -HTF,7.41,active
2130 Passing Storm -HTF,2130 Passing Storm -HTF,7.41,active
2131 Conquest -HTF,2131 Conquest -HTF,7.41,active
2132 Lilac Chaser Illusion -HTF,2132 Lilac Chaser Illusion -HTF,7.41,active
2133 Voir la vie en rose -HTF,2133 Voir la vie en rose -HTF,7.41,active
2134 Vintage Rose -HTF,2134 Vintage Rose -HTF,7.41,active
2135 Ruby Velvet -HTF,2135 Ruby Velvet -HTF,7.41,active
2137 Amber Embers -HTF,2137 Amber Embers -HTF,7.41,active
2138 Sans Retenue -HTF,2138 Sans Retenue -HTF,7.41,active
2139 Sugar Free -HTF,2139 Sugar Free -HTF,7.41,active
214 Silver Chalice -HTF,214 Silver Chalice -HTF,7.41,active
2140 Speechless -HTF,2140 Speechless -HTF,7.41,active
2141 Salamander’s Realm -HTF,2141 Salamander’s Realm -HTF,7.41,active
2142 Master key -HTF,2142 Master key -HTF,7.41,active
2143 Sunshine Ahead -HTF,2143 Sunshine Ahead -HTF,7.41,active
2145 Golden Vibes -HTF,2145 Golden Vibes -HTF,7.41,active
2145A Glitzy Peach -HTF,2145A Glitzy Peach -HTF,7.41,active
2146 Another Red -HTF,2146 Another Red -HTF,7.41,active
215 Urrea / Golden Globe -HTF,215 Urrea / Golden Globe -HTF,7.41,active
218 Sweet Carbonight -HTF,218 Sweet Carbonight -HTF,7.41,active
21A Hungover -HTF,21A Hungover -HTF,7.41,active
22 Havanna Banana -HTF,22 Havanna Banana -HTF,7.41,active
2200 Electric Lizard -HTF,2200 Electric Lizard -HTF,7.41,active
2201 Leave Mealon -HTF,2201 Leave Mealon -HTF,7.41,active
2202 Messy Opalina -HTF,2202 Messy Opalina -HTF,7.41,active
2203 Pinchy Orange -HTF,2203 Pinchy Orange -HTF,7.41,active
2204 Ouch -HTF,2204 Ouch -HTF,7.41,active
2205 Firecracker -HTF,2205 Firecracker -HTF,7.41,active
2206 Jazzberry -HTF,2206 Jazzberry -HTF,7.41,active
221 Schizo Princess -HTF,221 Schizo Princess -HTF,7.41,active
2210 Kazoo -HTF,2210 Kazoo -HTF,7.41,active
2211 Purple People Eater -HTF,2211 Purple People Eater -HTF,7.41,active
2212 Ghosted -HTF,2212 Ghosted -HTF,7.41,active
2213 Drunken Acorn -HTF,2213 Drunken Acorn -HTF,7.41,active
2214 What happened to Olive -HTF,2214 What happened to Olive -HTF,7.41,active
2215 Glass Frog -HTF,2215 Glass Frog -HTF,7.41,active
2216 Search Party -HTF,2216 Search Party -HTF,7.41,active
2217 Pouting Porpoise -HTF,2217 Pouting Porpoise -HTF,7.41,active
2218 Simmer Down -HTF,2218 Simmer Down -HTF,7.41,active
2220 Fading Whiskey Hangover -HTF,2220 Fading Whiskey Hangover -HTF,7.41,active
2221 Collapsed Créme Caramel -HTF,2221 Collapsed Créme Caramel -HTF,7.41,active
2222 Hot Cheetos -HTF,2222 Hot Cheetos -HTF,7.41,active
2223 Chocolate Deprived -HTF,2223 Chocolate Deprived -HTF,7.41,active
2224 Poor Gingerbread Man -HTF,2224 Poor Gingerbread Man -HTF,7.41,active
2225 Milk and Water -HTF,2225 Milk and Water -HTF,7.41,active
