SKU,Name,Price
"LINE IT UP LAVENDER -HTF","LINE IT UP LAVENDER -HTF",5.48
"LINE IT UP LILAC -HTF","LINE IT UP LILAC -HTF",5.48
"LINE IT UP MAGENTA -HTF","LINE IT UP MAGENTA -HTF",5.48
"LINE IT UP MINT -HTF","LINE IT UP MINT -HTF",5.48
"LINE IT UP ORANGE -HTF","LINE IT UP ORANGE -HTF",5.48
"LINE IT UP PINK -HTF","LINE IT UP PINK -HTF",5.48
"LINE IT UP PISTACHIO -HTF","LINE IT UP PISTACHIO -HTF",5.48
"LINE IT UP PYRITE -HTF","LINE IT UP PYRITE -HTF",5.48
"LINE IT UP RED -HTF","LINE IT UP RED -HTF",5.48
"LINE IT UP ROSE -HTF","LINE IT UP ROSE -HTF",5.48
"LINE IT UP SILVER -HTF","LINE IT UP SILVER -HTF",5.48
"LINE IT UP SKY -HTF","LINE IT UP SKY -HTF",5.48
"LINE IT UP WHITE -HTF","LINE IT UP WHITE -HTF",5.48
"LINE IT UP YELLOW -HTF","LINE IT UP YELLOW -HTF",5.48
"Super Flash Top Coat 11ml -HTF","Super Flash Top Coat 11ml -HTF",11.52
"Superbond Nail Dehydrator 11ml - Acid Free -HTF","Superbond Nail Dehydrator 11ml - Acid Free -HTF",6.78
"Superbond Nail Dehydrator 11ml - with Acid -HTF","Superbond Nail Dehydrator 11ml - with Acid -HTF",6.78
"DT01 Dandelion Diamond Top 11ml -HTF","DT01 Dandelion Diamond Top 11ml -HTF",9.48
"DT02 Diamond Dust Diamond Top 11ml -HTF","DT02 Diamond Dust Diamond Top 11ml -HTF",9.48
"DT03 Sugar Socks Diamond Top 11ml -HTF","DT03 Sugar Socks Diamond Top 11ml -HTF",9.48
"DT04 Chipper Diamond Top 11ml -HTF","DT04 Chipper Diamond Top 11ml -HTF",9.48
"NW01 Spot my top -HTF","NW01 Spot my top -HTF",8.97
"NW02 Sopt my top -HTF","NW02 Sopt my top -HTF",8.97
"NW03 Spot my top -HTF","NW03 Spot my top -HTF",8.97
"MT01 Spot my top -HTF","MT01 Spot my top -HTF",8.97
"MT02 Spot my top -HTF","MT02 Spot my top -HTF",8.97
"MT03 Spot my top -HTF","MT03 Spot my top -HTF",8.97
"MT04 Spot my top -HTF","MT04 Spot my top -HTF",8.97
"MT05 Spot my top -HTF","MT05 Spot my top -HTF",8.97
"MT06 Spot my top -HTF","MT06 Spot my top -HTF",8.97
"Blossom Flower Power 15ml -HTF","Blossom Flower Power 15ml -HTF",7.68
"Brush on Builder Gel Cover 15ml -HTF","Brush on Builder Gel Cover 15ml -HTF",11.94
"Brush on Builder Gel Pink 15ml -HTF","Brush on Builder Gel Pink 15ml -HTF",11.94
"Brush on Builder Gel Creamy 15ml -HTF","Brush on Builder Gel Creamy 15ml -HTF",11.94
"Brush on Builder Gel Nude 15ml -HTF","Brush on Builder Gel Nude 15ml -HTF",11.94
"Brush on Builder Gel Purple 15ml -HTF","Brush on Builder Gel Purple 15ml -HTF",11.94
"Brush on Builder Gel Dusty Shimmer 15ml -HTF","Brush on Builder Gel Dusty Shimmer 15ml -HTF",11.94
"Brush on Builder Gel Milky 15ml -HTF","Brush on Builder Gel Milky 15ml -HTF",11.94
"Brush on Builder Gel Lilac 15ml -HTF","Brush on Builder Gel Lilac 15ml -HTF",11.94
"Brush on Builder Gel Blush Pink 15ml -HTF","Brush on Builder Gel Blush Pink 15ml -HTF",11.94
"Brush on Builder Gel Soft Pink 15ml -HTF","Brush on Builder Gel Soft Pink 15ml -HTF",11.94
"Brush on Builder Gel Glittery Pink 15ml -HTF","Brush on Builder Gel Glittery Pink 15ml -HTF",11.94
"Brush on Builder Gel Magenta Glitter 15ml -HTF","Brush on Builder Gel Magenta Glitter 15ml -HTF",11.94
"Brush on Builder Gel Milky Glitter 15ml -HTF","Brush on Builder Gel Milky Glitter 15ml -HTF",11.94
"Brush on Builder Gel Rose Glitter 15ml -HTF","Brush on Builder Gel Rose Glitter 15ml -HTF",11.94
"Brush on Builder Gel Salmon Glitter 15ml -HTF","Brush on Builder Gel Salmon Glitter 15ml -HTF",11.94
"Satin Matt RS Top 15 ml -HTF","Satin Matt RS Top 15 ml -HTF",11.54
"Wipe Off Top Coat 15 ml","Wipe Off Top Coat 15 ml",9.24
"Non Wipe Top Coat 15ml -HTF","Non Wipe Top Coat 15ml -HTF",10.84
"Aurora Flakes Non Wipe Top Coat 15ml -HTF","Aurora Flakes Non Wipe Top Coat 15ml -HTF",11.54
"Non Wipe Top Coat Milky 15ml -HTF","Non Wipe Top Coat Milky 15ml -HTF",11.54
"Non Wipe Top Coat Perfect Shape 15ml -HTF","Non Wipe Top Coat Perfect Shape 15ml -HTF",11.54
"5-in-1 Superior Base 15ml Milky Pink -HTF","5-in-1 Superior Base 15ml Milky Pink -HTF",12.84
"5-in-1 Superior Base 15ml Pretty Pink -HTF","5-in-1 Superior Base 15ml Pretty Pink -HTF",12.84
"5-in-1 Superior Base 15ml Baby Pink -HTF","5-in-1 Superior Base 15ml Baby Pink -HTF",12.84
"5-in-1 Superior Base 15ml Candy Pink -HTF","5-in-1 Superior Base 15ml Candy Pink -HTF",12.84
"5-in-1 Superior Base 15ml Sweet Pink -HTF","5-in-1 Superior Base 15ml Sweet Pink -HTF",12.84
"5-IN-1 Superior Base 15ml Glittery Pink -HTF","5-IN-1 Superior Base 15ml Glittery Pink -HTF",12.84
"5-in-1 Superior Base 15ml Glittery Peach -HTF","5-in-1 Superior Base 15ml Glittery Peach -HTF",12.84
"5-IN-1 Superior Base 15ml Irridecent Pink -HTF","5-IN-1 Superior Base 15ml Irridecent Pink -HTF",12.84
"5-in-1 Superior Base 15ml Iridescent Milky Flakes -HTF","5-in-1 Superior Base 15ml Iridescent Milky Flakes -HTF",12.84
"5-in-1 Superior Base 15ml Lilac -HTF","5-in-1 Superior Base 15ml Lilac -HTF",12.84
"5-IN-1 Superior Base 15ml Milky Glitter -HTF","5-IN-1 Superior Base 15ml Milky Glitter -HTF",12.84
"5-in-1 Superior Base 15ml Milky White -HTF","5-in-1 Superior Base 15ml Milky White -HTF",12.84
"5-in-1 Superior Base 15ml Nude -HTF","5-in-1 Superior Base 15ml Nude -HTF",12.84
"5-IN-1 Superior Base 15ml Soft Nude -HTF","5-IN-1 Superior Base 15ml Soft Nude -HTF",12.84
"Base Coat 15ml -HTF","Base Coat 15ml -HTF",10.84
"Acrylic Classic Powder Pink 35g -HTF","Acrylic Classic Powder Pink 35g -HTF",15.4
"Acrylic Classic Powder White 35g -HTF","Acrylic Classic Powder White 35g -HTF",15.4
"Acrylic Compete Powder Cover 35g -HTF","Acrylic Compete Powder Cover 35g -HTF",15.4
"Acrylic Compete Powder Extreme White 35g -HTF","Acrylic Compete Powder Extreme White 35g -HTF",15.4
"Acrylic Compete Powder Milky White 35g -HTF","Acrylic Compete Powder Milky White 35g -HTF",15.4
"Acrylic Compete Powder Pink 35g -HTF","Acrylic Compete Powder Pink 35g -HTF",15.4
"Acrylic Compete Liquid 500ml -HTF","Acrylic Compete Liquid 500ml -HTF",35.48
"Acrylic Classic Liquid 500ml -HTF","Acrylic Classic Liquid 500ml -HTF",35.48
"3-in-1 Builder Gel Cover 40g -HTF","3-in-1 Builder Gel Cover 40g -HTF",23.16
"3-in-1 Builder Gel Pink 40g -HTF","3-in-1 Builder Gel Pink 40g -HTF",23.16
"COOL CARE Builder Gel 40gr -HTF","COOL CARE Builder Gel 40gr -HTF",23.16
"Premium Plus Fiber Glass Builder Gel 40gr -HTF","Premium Plus Fiber Glass Builder Gel 40gr -HTF",24.45
"Premium Builder Gel Pink 40gr -HTF","Premium Builder Gel Pink 40gr -HTF",24.45
"Premium Builder Gel White 40gr -HTF","Premium Builder Gel White 40gr -HTF",24.45
"Premium Builder Gel Blush 40gr -HTF","Premium Builder Gel Blush 40gr -HTF",24.45
"Premium Builder Gel Cover 40gr -HTF","Premium Builder Gel Cover 40gr -HTF",24.45
"Premium Builder Gel Milky 40gr -HTF","Premium Builder Gel Milky 40gr -HTF",24.45
"Premium Builder Gel Nude 40gr -HTF","Premium Builder Gel Nude 40gr -HTF",24.45
"Premium Builder Gel Nude II 40gr -HTF","Premium Builder Gel Nude II 40gr -HTF",24.45
"Premium Builder Gel Pearly Nude 40gr -HTF","Premium Builder Gel Pearly Nude 40gr -HTF",24.45
"Premium Builder Gel Pearly Pink 40gr -HTF","Premium Builder Gel Pearly Pink 40gr -HTF",24.45
"3-in-1 Shimmery Builder Gel 40g Cover -HTF","3-in-1 Shimmery Builder Gel 40g Cover -HTF",23.16
"3-in-1 Shimmery Builder Gel 40g Light Lilac -HTF","3-in-1 Shimmery Builder Gel 40g Light Lilac -HTF",23.16
"3-in-1 Shimmery Builder Gel 40g Pink Marmalade -HTF","3-in-1 Shimmery Builder Gel 40g Pink Marmalade -HTF",23.16
"MultiMix Synthogel 30g Blue Glitter -HTF","MultiMix Synthogel 30g Blue Glitter -HTF",12.19
"Multimix Synthogel 30g Light Nude -HTF","Multimix Synthogel 30g Light Nude -HTF",12.19
"MultiMix Synthogel 30gr Baby Blue -HTF","MultiMix Synthogel 30gr Baby Blue -HTF",12.19
"MultiMix Synthogel 30gr Baby Pink Glitter -HTF","MultiMix Synthogel 30gr Baby Pink Glitter -HTF",12.19
"MultiMix Synthogel 30gr Bubble Gum Glitter -HTF","MultiMix Synthogel 30gr Bubble Gum Glitter -HTF",12.19
"MultiMix Synthogel 30gr Glitsy Green -HTF","MultiMix Synthogel 30gr Glitsy Green -HTF",12.19
"MultiMix Synthogel 30gr Minty Green -HTF","MultiMix Synthogel 30gr Minty Green -HTF",12.19
"MultiMix Synthogel 30gr Pink III -HTF","MultiMix Synthogel 30gr Pink III -HTF",12.19
"MultiMix Synthogel 30gr Super Soft Pink -HTF","MultiMix Synthogel 30gr Super Soft Pink -HTF",12.19
"MultiMix Synthogel 60gr Cover -HTF","MultiMix Synthogel 60gr Cover -HTF",21.29
"MultiMix Synthogel 60gr Cover II -HTF","MultiMix Synthogel 60gr Cover II -HTF",21.29
"MultiMix Synthogel 60gr Light Lilac -HTF","MultiMix Synthogel 60gr Light Lilac -HTF",21.29
"MultiMix Synthogel 60gr Light Pink -HTF","MultiMix Synthogel 60gr Light Pink -HTF",21.29
"MultiMix Synthogel 60gr Milky White -HTF","MultiMix Synthogel 60gr Milky White -HTF",21.29
"MultiMix Synthogel 60gr Nude -HTF","MultiMix Synthogel 60gr Nude -HTF",21.29
"MultiMix Synthogel 60gr Pink -HTF","MultiMix Synthogel 60gr Pink -HTF",21.29
"MultiMix Synthogel 60gr Pink II -HTF","MultiMix Synthogel 60gr Pink II -HTF",21.29
"MultiMix Synthogel 60gr Super Milky -HTF","MultiMix Synthogel 60gr Super Milky -HTF",21.29
"MultiMix Synthogel 60gr White -HTF","MultiMix Synthogel 60gr White -HTF",21.29
"MultiMix Synthogel 60gr Glitter Gold -HTF","MultiMix Synthogel 60gr Glitter Gold -HTF",21.29
"MultiMix Synthogel 60gr Glitter Nude -HTF","MultiMix Synthogel 60gr Glitter Nude -HTF",21.29
"MultiMix Synthogel 60gr Glitter Pink -HTF","MultiMix Synthogel 60gr Glitter Pink -HTF",21.29
"MultiMix Synthogel 60gr Glitter Pink II -HTF","MultiMix Synthogel 60gr Glitter Pink II -HTF",21.29
"MultiMix Synthogel 60gr Glitter White -HTF","MultiMix Synthogel 60gr Glitter White -HTF",21.29
"MultiMix Syntholiquid 100ml -HTF","MultiMix Syntholiquid 100ml -HTF",5.1
"Dazzle Me 1gr GP06-Extreme Mirror","Dazzle Me 1gr GP06-Extreme Mirror",2.76
"CM12 Mirror X7 Powder","CM12 Mirror X7 Powder",5.15
"Cushion Pro Gel Black -HTF","Cushion Pro Gel Black -HTF",6.39
"Cushion Pro Gel White -HTF","Cushion Pro Gel White -HTF",6.39
"Cobweb Gel Black -HTF","Cobweb Gel Black -HTF",7.41
"Cobweb Gel White -HTF","Cobweb Gel White -HTF",7.41
"GEL IT UP FOOT CREAM 1000ml CALM FROST NEW","GEL IT UP FOOT CREAM 1000ml CALM FROST NEW",17.36
"GEL IT UP FOOT CREAM 1000ml SASSY SASSY NEW","GEL IT UP FOOT CREAM 1000ml SASSY SASSY NEW",17.36
"GEL IT UP FOOT CREAM 1000ml SILKY BLISS NEW","GEL IT UP FOOT CREAM 1000ml SILKY BLISS NEW",17.36
"GEL IT UP FOOT CREAM 100ml CALM FROST NEW","GEL IT UP FOOT CREAM 100ml CALM FROST NEW",5.16
"GEL IT UP FOOT CREAM 100ml SASSY SASSY NEW","GEL IT UP FOOT CREAM 100ml SASSY SASSY NEW",5.16
"GEL IT UP FOOT CREAM 100ml SILKY BLISS NEW","GEL IT UP FOOT CREAM 100ml SILKY BLISS NEW",5.16
"GEL IT UP HAND AND BODY CREAM 1000ml CALM FROST NEW","GEL IT UP HAND AND BODY CREAM 1000ml CALM FROST NEW",17.36
"GEL IT UP HAND AND BODY CREAM 1000ml SASSY SASSY NEW","GEL IT UP HAND AND BODY CREAM 1000ml SASSY SASSY NEW",17.36
"GEL IT UP HAND AND BODY CREAM 1000ml SILKY BLISS NEW","GEL IT UP HAND AND BODY CREAM 1000ml SILKY BLISS NEW",17.36
"GEL IT UP HAND AND BODY CREAM 100ml CALM FROST NEW","GEL IT UP HAND AND BODY CREAM 100ml CALM FROST NEW",5.16
"GEL IT UP HAND AND BODY CREAM 100ml SASSY SASSY NEW","GEL IT UP HAND AND BODY CREAM 100ml SASSY SASSY NEW",5.16
"GEL IT UP HAND AND BODY CREAM 100ml SILKY BLISS NEW","GEL IT UP HAND AND BODY CREAM 100ml SILKY BLISS NEW",5.16
"GEL IT UP SCRUB 200ml CALM FROST NEW","GEL IT UP SCRUB 200ml CALM FROST NEW",6.45
"GEL IT UP SCRUB 200ml SASSY SASSY NEW","GEL IT UP SCRUB 200ml SASSY SASSY NEW",6.45
"GEL IT UP SCRUB 200ml SILKY BLISS NEW","GEL IT UP SCRUB 200ml SILKY BLISS NEW",6.45
"GEL IT UP SCRUB 750ml CALM FROST NEW","GEL IT UP SCRUB 750ml CALM FROST NEW",16.06
"GEL IT UP SCRUB 750ml SASSY SASSY NEW","GEL IT UP SCRUB 750ml SASSY SASSY NEW",16.06
"GEL IT UP SCRUB 750ml SILKY BLISS NEW","GEL IT UP SCRUB 750ml SILKY BLISS NEW",16.06
"Salt of the 7 Seas Foot Scrub 370g NEW","Salt of the 7 Seas Foot Scrub 370g NEW",6.45
"Perky Peach Cuticle Oil 100ml -HTF","Perky Peach Cuticle Oil 100ml -HTF",7.2
"Perky Peach Cuticle Oil 5ml -HTF","Perky Peach Cuticle Oil 5ml -HTF",1.6
"Chilled Melon Cuticle Oil 100ml -HTF","Chilled Melon Cuticle Oil 100ml -HTF",7.2
"Chilled Melon Cuticle Oil 5ml -HTF","Chilled Melon Cuticle Oil 5ml -HTF",1.6
"Cooling Coconut Cuticle Oil 100ml -HTF","Cooling Coconut Cuticle Oil 100ml -HTF",7.2
"Cooling Coconut Cuticle Oil 5ml -HTF","Cooling Coconut Cuticle Oil 5ml -HTF",1.6
"PhotoPerfect Cuticle Oil New","PhotoPerfect Cuticle Oil New",6.66
"Nail Clips Dual Form Single","Nail Clips Dual Form Single",0.75
"Nail Files 100/100","Nail Files 100/100",0.72
"Nail Files 180/180 Pink Sponge","Nail Files 180/180 Pink Sponge",1.096
"Nail Files Boat Shape 100/180","Nail Files Boat Shape 100/180",1.096
"Wooden File Super thin 100/100 with Logo","Wooden File Super thin 100/100 with Logo",0.72
"GIUP Boat Shape metallic Nail File","GIUP Boat Shape metallic Nail File",3.808
"GIUP Boat Shape Nail File 100/120 Purple Sponge","GIUP Boat Shape Nail File 100/120 Purple Sponge",1.096
"GIUP Boat Shape Nail File 220/240","GIUP Boat Shape Nail File 220/240",1.096
"GEL.IT.UP by GIUP® Nail Forms","GEL.IT.UP by GIUP® Nail Forms",18
"Natural nail sticks","Natural nail sticks",5.82
"SD-1933 Nail Decals French - White","SD-1933 Nail Decals French - White",4.41
"SD-1934 Nail Decals French - Black","SD-1934 Nail Decals French - Black",4.41
"Aquarela Brush Rose Gold","Aquarela Brush Rose Gold",10.904
"Skinny Liner brush 5-7","Skinny Liner brush 5-7",10.26
"Skinny Liner brush 9-11","Skinny Liner brush 9-11",10.26
"#8 Acrylic brush Rose Gold","#8 Acrylic brush Rose Gold",16.064
"#10 Acrylic Application Brush Rose Gold","#10 Acrylic Application Brush Rose Gold",16.064
"#12 Acrylic Brush Rose Gold","#12 Acrylic Brush Rose Gold",16.064
"#6 Gel Brush Rose Gold","#6 Gel Brush Rose Gold",16.064
"#8 Gel Brush Rose Gold","#8 Gel Brush Rose Gold",10.256
"French Nail Brush Rose Gold","French Nail Brush Rose Gold",10.256
"Ombre sponge","Ombre sponge",6.4
"SOAK OFF GEL TIPS LONG COFFIN","SOAK OFF GEL TIPS LONG COFFIN",8.968
"DUAL FORMS MIX COLOR AND SHAPE","DUAL FORMS MIX COLOR AND SHAPE",15.91
"Watercolors Aquarelle Pallete","Watercolors Aquarelle Pallete",22.576
"Professional Head Cutter Nipper Half Blade L 11.5cm 1006 New","Professional Head Cutter Nipper Half Blade L 11.5cm 1006 New",16.064
"Corner Nippers Flame Shaped L 10cm 1115 New","Corner Nippers Flame Shaped L 10cm 1115 New",16.064
"Corner Nippers Straight Cutter Design Handle  L 11cm 1119 New","Corner Nippers Straight Cutter Design Handle  L 11cm 1119 New",16.064
"Professional Premium Cuticle Nipper, Oval Fine Cut – 3mm 2119 New","Professional Premium Cuticle Nipper, Oval Fine Cut – 3mm 2119 New",12.832
"Professional Premium Cuticle Nipper, Oval Fine Cut – 5mm 2119 New","Professional Premium Cuticle Nipper, Oval Fine Cut – 5mm 2119 New",12.832
"Professional Premium Cuticle Nipper, Oval Fine Cut – 7mm 2119 New","Professional Premium Cuticle Nipper, Oval Fine Cut – 7mm 2119 New",12.832
"Professional Premium Cuticle Nipper, Oval Round Fine Cut – 3mm 2120 New","Professional Premium Cuticle Nipper, Oval Round Fine Cut – 3mm 2120 New",13.12
"Professional Premium Cuticle Nipper, Oval Round Fine Cut – 5mm 2120 New","Professional Premium Cuticle Nipper, Oval Round Fine Cut – 5mm 2120 New",13.12
"Professional Premium Cuticle Nipper, Oval Round Fine Cut – 7mm 2120 New","Professional Premium Cuticle Nipper, Oval Round Fine Cut – 7mm 2120 New",13.12
"Professional Premium Cuticle Nipper, Fine Cut – 3mm 2117 New","Professional Premium Cuticle Nipper, Fine Cut – 3mm 2117 New",13.12
"Professional Premium Cuticle Nipper, Fine Cut – 5mm 2117 New","Professional Premium Cuticle Nipper, Fine Cut – 5mm 2117 New",13.12
"Professional Premium Cuticle Nipper, Fine Cut – 7mm 2117 New","Professional Premium Cuticle Nipper, Fine Cut – 7mm 2117 New",13.12
"Professional Cuticle Scissors, Curved 1463 New","Professional Cuticle Scissors, Curved 1463 New",13.79
"Professional Cuticle Scissors, Curved 1466 New","Professional Cuticle Scissors, Curved 1466 New",19.7
"Professional Spring Scissors, Curved 1468 New","Professional Spring Scissors, Curved 1468 New",14.128
"Corner File Straight & Curved Stainless Steel 1289 New","Corner File Straight & Curved Stainless Steel 1289 New",5.736
"Professional Cuticle Pusher- Double Action, Rounded 2042 New","Professional Cuticle Pusher- Double Action, Rounded 2042 New",5.736
"Professional Cuticle Pusher- Double Action 2044 New","Professional Cuticle Pusher- Double Action 2044 New",5.736
"White Nail Lamp New","White Nail Lamp New",10.4
"AirBrush Machine New","AirBrush Machine New",58.24
