Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Colour Family,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
2055-liquid-tar-htf,2055 Liquid Tar -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,"Solid Gel Colours, Black, Gel Polish",TRUE,Title,Default Title,Black,,,,,,,2055 Liquid Tar -HTF,11000,shopify,0,deny,manual,7.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-2055.webp?v=1777733251,1,,FALSE,,,,kg,,,active
2306-my-favourite-sweater-htf,2306 My Favourite Sweater -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,"Solid Gel Colours, Purple, Gel Polish",TRUE,Title,Default Title,Purple,,,,,,,2306 My Favourite Sweater -HTF,11000,shopify,0,deny,manual,7.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-2306.webp?v=1777733251,1,,FALSE,,,,kg,,,active
professional-cuticle-pusher-double-action-2044-new,Professional Cuticle Pusher- Double Action 2044 New,,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,Professional Cuticle Pusher- Double Action 2044 New,0,shopify,0,deny,manual,5.74,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-2044.webp?v=1777733244,1,,FALSE,,,,kg,,,active
2044-htf,2044 -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,"Solid Gel Colours, Purple, Gel Polish",TRUE,Title,Default Title,Purple,,,,,,,2044 -HTF,11000,shopify,0,deny,manual,7.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-2044.webp?v=1777733244,1,,FALSE,,,,kg,,,active
dreamy-cat-eye-dce2-htf,Dreamy Cat Eye #DCE2 -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,Gel Polish,TRUE,Title,Default Title,,,,,,,,Dreamy Cat Eye #DCE2 -HTF,11000,shopify,0,deny,manual,8.97,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/Dreamy_Cat_Eye_DCE2_-HTF.webp?v=1777733245,1,,FALSE,,,,kg,,,active
velvet-cat-eye-vce10-htf,Velvet Cat Eye #VCE10 -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,Gel Polish,TRUE,Title,Default Title,,,,,,,,Velvet Cat Eye #VCE10 -HTF,11000,shopify,0,deny,manual,9.03,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/Velvet_Cat_Eye_VCE10_-HTF.webp?v=1777733236,1,,FALSE,,,,kg,,,active
10-bridal-bliss-htf,10 Bridal Bliss -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,Uncategorized,,Gel Polish,TRUE,Title,Default Title,,,,,,,,10 Bridal Bliss -HTF,11000,shopify,0,deny,manual,7.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-10.webp?v=1777818868,1,,FALSE,,,,kg,,,active
10-acrylic-application-brush-rose-gold,#10 Acrylic Application Brush Rose Gold,"<p>Pennelli professionali in setole sintetiche di alta qualità, progettati per offrire massima precisione, controllo e comfort in ogni applicazione.</p>",GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,#10 Acrylic Application Brush Rose Gold,0,shopify,0,deny,manual,16.06,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/Velvet_Cat_Eye_VCE10_-HTF.webp?v=1777733236,1,,FALSE,,,,kg,,,active
2331-electric-magenta-htf,2331 Electric Magenta -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,Gel Polish,TRUE,Title,Default Title,,,,,,,,2331 Electric Magenta -HTF,11000,shopify,0,deny,manual,7.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-2331.webp?v=1777733234,1,,FALSE,,,,kg,,,active
2145-golden-vibes-htf,2145 Golden Vibes -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,Gel Polish,TRUE,Title,Default Title,,,,,,,,2145 Golden Vibes -HTF,11000,shopify,0,deny,manual,7.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-2145.webp?v=1777733230,1,,FALSE,,,,kg,,,active
2426-tinky-winky-htf,2426 Tinky Winky -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,"Solid Gel Colours, Purple, Gel Polish",TRUE,Title,Default Title,Purple,,,,,,,2426 Tinky Winky -HTF,11000,shopify,0,deny,manual,7.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/GIUP-2426.webp?v=1777733228,1,,FALSE,,,,kg,,,active
